doi,cluster,phase,note,year,tier,score,S_topo,N_link,direct,sim,nearest_known,generic,openalex
10.1007/bf00048036,light,4,Spatial pattern and ecological analysis,1989,1,8.338,7.338,7,3,0.279,Bolker & Pacala 1997,0,https://openalex.org/W2125214271
10.11834/jrs.20166238,lai,4,Review of indirect methods for leaf area index measurement,2016,1,8.335,7.373,8,3,0.206,Demarez 2008,0,https://openalex.org/W4385529670
10.1016/0002-1571(71)90092-6,lai,4,A theoretical analysis of the frequency of gaps in plant stands,1971,1,8.327,7.751,9,4,0.155,Nicotra 1999,0,https://openalex.org/W1995103915
10.1016/j.rse.2005.05.003,lai,4,Global mapping of foliage clumping index using multi-angular satellite data,2005,1,8.283,7.283,9,4,0.252,Demarez 2008,0,https://openalex.org/W2090626095
,evo,4,On the role of natural enemies in preventing competitive exclusion in some marine animals and in rai,1971,1,8.266,8.266,10,2,0.054,Denslow 1987,0,https://openalex.org/W2962874606
10.1007/978-94-024-1098-3_7,lai,4,Comparison of Software Tools for Analysis of Hemispherical Photographs,2017,1,8.226,7.226,10,3,0.46,Demarez 2008,0,https://openalex.org/W2613810272
10.2307/1311725,light,4,The Importance of Sunflecks for Forest Understory Plants,1991,1,8.175,7.364,9,3,0.186,Canham 1990,0,https://openalex.org/W2278844608
10.1016/j.agrformet.2009.02.007,lai,4,Modeling approaches to estimate effective leaf area index from aerial discrete-return LIDAR,2009,1,8.161,7.835,10,4,0.122,Demarez 2008,0,https://openalex.org/W2148719805
10.1016/s0034-4257(99)00056-5,lai,4,"Direct and Indirect Estimation of Leaf Area Index, fAPAR, and Net Primary Production of Terrestrial ",1999,1,8.11,7.277,7,4,0.189,Demarez 2008,0,https://openalex.org/W1967248741
10.2134/agronj1991.00021962008300050009x,lai,4,Instrument for Indirect Measurement of Canopy Architecture,1991,1,8.105,7.84,10,4,0.114,Chianucci 2019,0,https://openalex.org/W2026307199
10.3832/ifor0775-005,lai,4,Digital hemispherical photography for estimating forest canopy properties: current controversies and,2012,1,8.104,7.104,8,5,0.381,Leblanc 2005,0,https://openalex.org/W2042607091
10.1016/j.agrformet.2008.02.014,lai,4,"Intercomparison and sensitivity analysis of Leaf Area Index retrievals from LAI-2000, AccuPAR, and d",2008,1,8.084,7.084,9,3,0.289,Leblanc 2005,0,https://openalex.org/W2115713950
10.1007/s00442-002-0872-1,light,4,Light gradient partitioning by tropical tree seedlings in the absence of canopy gaps,2002,1,8.061,7.364,10,3,0.171,Matsuo 2021,0,https://openalex.org/W2106368250
10.1016/j.agrformet.2010.01.009,lai,4,On the correct estimation of effective leaf area index: Does it reveal information on clumping effec,2010,1,7.992,6.992,8,5,0.446,Demarez 2008,0,https://openalex.org/W2003719822
10.1016/j.agrformet.2012.09.002,lai,4,Estimation of canopy properties in deciduous forests with digital hemispherical and cover photograph,2012,1,7.953,6.953,10,2,0.533,Leblanc 2005,0,https://openalex.org/W2040171000
10.1086/324112,forest,4,Comparing Classical Community Models: Theoretical Consequences for Patterns of Diversity,2002,1,7.931,7.613,9,4,0.121,Caswell 1976,0,https://openalex.org/W2134126987
10.1016/j.agrformet.2017.07.027,lai,4,Validating canopy clumping retrieval methods using hemispherical photography in a simulated Eucalypt,2017,1,7.923,6.923,8,2,0.217,Chianucci 2019,0,https://openalex.org/W2763869597
10.1016/j.agrformet.2014.08.005,lai,4,Seasonal variation of leaf area index (LAI) over paddy rice fields in NE China: Intercomparison of d,2014,1,7.909,6.909,9,3,0.232,Leblanc 2005,0,https://openalex.org/W2026200869
10.1016/j.agrformet.2007.04.017,lai,4,Leaf area index estimation in mountain even-aged Pinus silvestris L. stands from hemispherical photo,2007,1,7.886,6.886,9,2,0.438,Demarez 2008,0,https://openalex.org/W1973493934
10.1016/j.agrformet.2015.04.025,lai,4,Estimating seasonal variations of leaf area index using litterfall collection and optical methods in,2015,1,7.857,6.857,8,3,0.216,Zhu 2016,0,https://openalex.org/W2206749338
10.1007/s00468-014-1040-z,light,4,Spatial and temporal variations in the light environment in a primary and selectively logged forest ,2014,1,7.833,6.833,9,3,0.241,Nicotra 1999,0,https://openalex.org/W2033740268
10.1109/tgrs.2012.2205003,lai,4,Retrieval of Effective Leaf Area Index in Heterogeneous Forests With Terrestrial Laser Scanning,2012,1,7.823,6.929,10,3,0.197,Demarez 2008,0,https://openalex.org/W1969434292
10.1016/j.agrformet.2021.108374,lai,4,"Canopy clumping index (CI): A review of methods, characteristics, and applications",2021,1,7.822,6.822,8,5,0.385,Demarez 2008,0,https://openalex.org/W3133771980
10.1201/9781420007626.ch7,light,4,Responses of Plants to Heterogeneous Light Environments,2007,1,7.82,7.282,8,6,0.15,Hirose 2005,0,https://openalex.org/W2503363450
10.1016/b978-0-443-13220-9.00056-1,lai,4,"Remote Sensing of Leaf Area Index, FAPAR, and Clumping Index",2025,1,7.816,6.816,8,5,0.404,Demarez 2008,0,https://openalex.org/W4408745773
10.2478/v10111-010-0013-2,light,4,The use of hemispherical photographs for canopy description and light condition modeling in tree sta,2010,1,7.792,6.792,9,3,0.311,Demarez 2008,0,https://openalex.org/W2066304321
10.1093/aob/mci051,light,4,Variation in Crown Light Utilization Characteristics among Tropical Canopy Trees,2004,1,7.785,6.899,8,6,0.196,Canham 1994,0,https://openalex.org/W2126475535
10.1016/j.agrformet.2006.10.013,lai,4,Estimation of leaf area index in eucalypt forest using digital photography,2006,1,7.781,6.781,8,5,0.329,Leblanc 2005,0,https://openalex.org/W2063418562
10.1109/cecnet.2011.5769204,light,4,Understory light regimes in old-growth and second-growth temperate forests of Northeastern China,2011,1,7.75,6.75,8,5,0.323,Montgomery & Chazdon 2001,0,https://openalex.org/W1989712547
10.1890/0012-9658(1999)080[0187:lgpatt]2.0.co;2,light,4,LIGHT GRADIENT PARTITIONING AMONG TROPICAL TREE SPECIES THROUGH DIFFERENTIAL SEEDLING MORTALITY AND ,1999,1,7.744,7.282,9,2,0.14,Canham 1994,0,https://openalex.org/W2036631068
10.2307/3237266,light,4,Effects of overstory and understory vegetation on the understory light environment in mixed boreal f,1998,1,7.725,7.164,8,3,0.153,Helbach 2022,0,https://openalex.org/W2017225770
10.1007/s00468-014-1115-x,lai,4,Estimation of foliage clumping from the LAI-2000 Plant Canopy Analyzer: effect of view caps,2014,1,7.667,6.667,7,4,0.222,Demarez 2008,0,https://openalex.org/W2092602731
10.70675/ee92287bzd01dz49d9zbec0z72b8d833bb72,lai,4,Consistent forest leaf area index retrieval using ground and airborne data,2018,1,7.612,7.612,9,3,0.076,Valladares 2006,0,https://openalex.org/W7148630708
10.1029/2010gb003996,lai,4,Effects of foliage clumping on the estimation of global terrestrial gross primary productivity,2012,1,7.598,6.734,9,3,0.193,Demarez 2008,0,https://openalex.org/W1500576594
10.1016/s0168-1923(99)00018-0,lai,4,Leaf area index estimates obtained for clumped canopies using hemispherical photography,1999,1,7.58,6.58,8,4,0.363,Leblanc 2005,0,https://openalex.org/W1966963755
10.12899/asr-993,light,4,Structural attributes of stand overstory and light under the canopy,2015,1,7.512,6.595,7,6,0.2,Helbach 2022,0,https://openalex.org/W299350072
10.1007/s10310-010-0189-6,light,4,Effect of settings of digital fisheye photography to estimate relative illuminance within forest und,2010,1,7.468,6.468,8,4,0.258,Leblanc 2005,0,https://openalex.org/W2076076081
10.1007/s10342-012-0651-4,light,4,Instantaneous and potential radiation effect on underplanted European beech below Norway spruce cano,2012,1,7.456,7.456,10,3,0.067,Canham 1990,0,https://openalex.org/W2103337794
10.1016/0168-1923(93)90040-o,light,4,Long-term study of solar radiation regimes in a tropical wet forest using quantum sensors and hemisp,1993,1,7.453,6.453,8,3,0.267,Leblanc 2005,0,https://openalex.org/W2016085577
10.1890/09-2335.1,forest,4,Functional traits and the growth–mortality trade‐off in tropical trees,2010,1,7.451,7.012,8,2,0.137,Canham 1994,0,https://openalex.org/W2010216127
10.2307/1941685,light,4,Sapling Diameter Growth in Gaps for Two Nothofagus Species in New Zealand,1995,1,7.448,6.463,9,4,0.209,Runkle 1982,0,https://openalex.org/W1996906954
,ms,4,Uber den Lichtfaktor in den Pflanzen-gesellschaften und seine Bedeutung fur die Stoffproduktion,1953,1,7.44,6.44,8,2,0.321,Monsi & Saeki 1953/2005,0,https://openalex.org/W2242836357
10.1007/978-94-024-1098-3_10,lai,4,"Hemispherical Photography in Forest Science: Conclusions, Applications, Limitations, and Implementat",2017,1,7.416,6.416,8,4,0.321,Leblanc 2005,0,https://openalex.org/W2613257413
10.1890/09-1376.1,light,4,Is understory plant species diversity driven by resource quantity or resource heterogeneity?,2010,1,7.414,6.414,7,6,0.27,Helbach 2022,0,https://openalex.org/W2144818662
10.1093/treephys/28.9.1407,lai,4,Within-canopy sampling of global irradiance to describe downwelling light distribution and infer can,2008,1,7.395,6.91,11,2,0.143,Hirose 2005,0,https://openalex.org/W2330248967
10.25148/etd.fi14051839,forest,4,Dynamics of canopy cover in a wet forest in Costa Rica,2005,1,7.373,6.585,9,4,0.183,Nicotra 1999,0,https://openalex.org/W905792216
10.1139/x06-088,light,4,Overstory influences on light attenuation patterns and understory plant community diversity and comp,2006,1,7.351,6.692,7,5,0.166,Montgomery & Chazdon 2001,0,https://openalex.org/W1967176949
10.3832/efor0373-0030191,light,4,Comparison of optical and digital techniques for light microclimate assessment in the Paneveggio For,2006,1,7.351,6.449,9,3,0.198,Leblanc 2005,0,https://openalex.org/W1486708409
10.1111/jvs.13135,light,4,Vertical and horizontal light heterogeneity along gradients of secondary succession in cool‐ and war,2022,1,7.327,6.327,7,5,0.415,Matsuo 2021,0,https://openalex.org/W4282047818
10.1139/cjfr-30-2-239,light,4,Canopy openness and leaf area in chronosequences of coastal temperate rainforests,2000,1,7.3,6.914,8,5,0.13,Liu 2018,0,https://openalex.org/W2147422775
10.1016/s0378-1127(01)00575-8,light,4,Disturbances and structural development of natural forest ecosystems with silvicultural implications,2002,1,7.295,6.947,10,2,0.125,Ehbrecht 2021,0,https://openalex.org/W2139427406
10.1086/283244,forest,4,Evidence for the Existence of Three Primary Strategies in Plants and Its Relevance to Ecological and,1977,1,7.294,7.286,10,2,0.08,Hirose 2005,0,https://openalex.org/W2055424972
10.1016/j.compag.2011.10.001,lai,4,CIMES: A package of programs for determining canopy geometry and solar radiation regimes through hem,2011,1,7.293,6.293,8,2,0.266,Demarez 2008,0,https://openalex.org/W2020523254
,forest,4,Plant Strategies and Vegetation Processes,1979,1,7.259,7.183,10,3,0.089,Bolker & Pacala 1999,0,https://openalex.org/W2169917233
10.1016/j.foreco.2015.05.005,lai,4,Empirical models for tracing seasonal changes in leaf area index in deciduous broadleaf forests by d,2015,1,7.253,6.253,7,2,0.232,Zhu 2016,0,https://openalex.org/W830770453
10.1016/j.foreco.2015.09.030,lai,4,An improved theoretical model of canopy gap probability for Leaf Area Index estimation in woody ecos,2015,1,7.246,6.246,8,2,0.236,Demarez 2008,0,https://openalex.org/W1944908211
10.1093/treephys/tpn022,lai,4,Estimating forest LAI profiles and structural parameters using a ground-based laser called 'Echidna(,2008,1,7.23,6.7,9,2,0.149,Demarez 2008,0,https://openalex.org/W2146525372
10.1016/j.agrformet.2009.08.007,lai,4,How to quantify tree leaf area index in an open savanna ecosystem: A multi-instrument and multi-mode,2009,1,7.22,7.038,9,3,0.103,Demarez 2008,0,https://openalex.org/W2130546556
10.1139/x02-090,forest,4,Release episodes at the periphery of gaps: a modeling assessment of gap impact extent,2002,1,7.205,6.879,9,5,0.122,Runkle 1982,0,https://openalex.org/W2115958497
10.1016/0168-1923(91)90108-3,lai,4,Evaluation of hemispherical photography for determining plant area index and geometry of a forest st,1991,1,7.155,6.155,8,3,0.33,Leblanc 2005,0,https://openalex.org/W2095579307
10.1016/j.agrformet.2007.02.004,lai,4,Correcting non-linearity and slope effects in the estimation of the leaf area index of forests from ,2007,1,7.135,6.135,8,2,0.482,Demarez 2008,0,https://openalex.org/W1980718009
10.1146/annurev.es.10.110179.002031,forest,4,The Physiological Ecology of Plant Succession,1979,1,7.132,6.852,9,2,0.116,Matsuo 2021,0,https://openalex.org/W2098654279
10.3390/rs10081297,lai,4,Comparison of Seven Inversion Models for Estimating Plant and Woody Area Indices of Leaf-on and Leaf,2018,1,7.113,6.378,8,2,0.176,Chianucci 2019,0,https://openalex.org/W2886521753
10.2307/2937114,light,4,Life History Diversity of Canopy and Emergent Trees in a Neotropical Rain Forest,1992,1,7.054,6.592,8,4,0.14,Montgomery & Chazdon 2001,0,https://openalex.org/W2010317530
10.2478/v10111-010-0008-z,light,4,Equipment and photo exposure in hemispherical photography in forest research,2010,1,7.051,6.051,8,3,0.224,Leblanc 2005,0,https://openalex.org/W2005309496
10.1016/b978-0-12-409548-9.10540-8,lai,4,Remote Sensing of Leaf Area Index and Clumping Index,2017,1,7.047,6.047,8,2,0.499,Demarez 2008,0,https://openalex.org/W2735628871
10.1890/0012-9615(2001)071[0557:amfsvd]2.0.co;2,forest,4,A METHOD FOR SCALING VEGETATION DYNAMICS: THE ECOSYSTEM DEMOGRAPHY MODEL (ED),2001,1,7.044,6.938,7,3,0.093,Pacala 1996 SORTIE,0,https://openalex.org/W2066163557
10.1016/j.foreco.2014.12.026,lai,4,Influence of woody tissue and leaf clumping on vertically resolved leaf area index and angular gap p,2015,1,7.042,6.042,8,2,0.275,Demarez 2008,0,https://openalex.org/W2021266423
10.1364/ao.34.006211,lai,4,Plant canopy gap-size analysis theory for improving optical measurements of leaf-area index,1995,1,7.037,7.022,7,6,0.081,Chianucci 2019,0,https://openalex.org/W2037317818
10.1016/j.agrformet.2006.08.005,lai,4,Leaf area index measurements at Fluxnet-Canada forest sites,2006,1,6.997,6.58,8,2,0.134,Demarez 2008,0,https://openalex.org/W2014431247
10.1017/s0266467400007112,light,4,Use of hemispherical photographs in forest ecology: measurement of gap size and radiation totals in ,1993,1,6.992,6.053,8,3,0.203,Demarez 2008,0,https://openalex.org/W2132221009
10.3390/rs15020471,lai,4,Comparison of Canopy Clumping Index Measuring Methods and Analysis of Their Impact,2023,1,6.966,5.966,7,3,0.284,Chianucci 2019,0,https://openalex.org/W4316037928
10.1016/j.agrformet.2014.03.016,lai,4,Hemispherical photography simulations with an architectural model to assess retrieval of leaf area i,2014,1,6.956,5.956,7,3,0.303,Demarez 2008,0,https://openalex.org/W2030952677
10.1139/a00-012,light,4,Gap dynamics of forest trees: A review with particular attention to boreal forests,2001,1,6.925,6.599,7,5,0.122,Leblanc 2005,0,https://openalex.org/W1967712348
10.1016/j.agrformet.2022.108930,lai,4,Leaf area index estimation of a row-planted eggplant canopy using wide-angle time-lapse photography ,2022,1,6.917,6.311,8,3,0.159,Demarez 2008,0,https://openalex.org/W4226427842
10.1016/j.rse.2010.08.030,lai,4,"Measuring effective leaf area index, foliage profile, and stand height in New England forest stands ",2011,1,6.9,6.544,9,2,0.126,Montgomery & Chazdon 2001,0,https://openalex.org/W2115322030
10.3390/f11010030,lai,4,Performance of Four Optical Methods in Estimating Leaf Area Index at Elementary Sampling Unit of Lar,2019,1,6.892,5.892,7,2,0.222,Chianucci 2019,0,https://openalex.org/W2994797336
10.1016/j.foreco.2008.05.032,lai,4,Methodology comparison for slope correction in canopy leaf area index estimation using hemispherical,2008,1,6.874,5.874,8,2,0.501,Leblanc 2005,0,https://openalex.org/W2037152307
10.1007/s00484-009-0222-7,light,4,Solar radiation transmission in and around canopy gaps in an uneven-aged Nothofagus betuloides fores,2009,1,6.866,6.586,9,4,0.116,Canham 1994,0,https://openalex.org/W1996353674
10.1016/j.rse.2012.05.005,lai,4,"Retrieval of vertical LAI profiles over tropical rain forests using waveform lidar at La Selva, Cost",2012,1,6.865,6.206,7,2,0.166,Montgomery & Chazdon 2001,0,https://openalex.org/W2107467817
10.1016/j.agrformet.2018.02.003,lai,4,Continuous estimation of canopy leaf area index (LAI) and clumping index over broadleaf crop fields:,2018,1,6.86,5.86,7,3,0.351,Demarez 2008,0,https://openalex.org/W2789657632
10.2307/2261230,evo,4,Size-Structured Tree Populations in Gap-Dynamic Forest--The Forest Architecture Hypothesis for the S,1993,1,6.856,6.651,8,2,0.106,Matsuo 2021,0,https://openalex.org/W2050509886
10.1016/j.rse.2013.12.007,lai,4,Deriving and validating Leaf Area Index (LAI) at multiple spatial scales through lidar remote sensin,2014,1,6.842,6.312,8,4,0.149,Fang 2019 LAI review,0,https://openalex.org/W1972288805
10.1007/s13595-011-0040-z,lai,4,Review of ground-based methods to measure the distribution of biomass in forest canopies,2011,1,6.836,6.094,8,2,0.177,Leblanc 2005,0,https://openalex.org/W2166321939
10.1016/j.agrformet.2012.10.009,lai,4,Assessment of in situ crop LAI measurement using unidirectional view digital photography,2012,1,6.831,5.831,8,2,0.25,Leblanc 2005,0,https://openalex.org/W2144157054
10.1016/s0378-1127(00)00535-1,light,4,Neotropical secondary forest succession: changes in structural and functional characteristics,2001,1,6.829,5.829,7,4,0.223,Matsuo 2021,0,https://openalex.org/W2001383563
10.1111/j.1744-7429.2008.00431.x,light,4,Modelling Direct Radiation and Canopy Gap Regimes in Tropical Forests,2008,1,6.82,5.82,7,4,0.217,Canham 1990,0,https://openalex.org/W2111168595
10.1023/a:1009712925343,light,4,Identifying spatial patterns in the tropical rain forest structure using hemispherical photographs,1998,1,6.799,5.799,8,2,0.435,Demarez 2008,0,https://openalex.org/W25427345
10.1139/x06-025,light,4,On the formation of dense understory layers in forests worldwide: consequences and implications for ,2006,1,6.797,6.623,7,4,0.102,Piper 2018,0,https://openalex.org/W2126544822
10.1016/j.foreco.2023.121365,light,4,The response of seedlings and saplings to canopy structure and light in different gaps in a spruce-f,2023,1,6.794,6.476,8,5,0.121,Jin 2024,0,https://openalex.org/W4386232839
10.1111/geb.12133,lai,4,Global dependence of field‐observed leaf area index in woody species on climate: a systematic review,2013,1,6.785,5.974,8,3,0.186,Zhu 2016,0,https://openalex.org/W1550857001
10.1086/283169,light,4,Environmental Heterogeneity and Plant Species Diversity: A Hypothesis,1977,1,6.78,5.78,7,2,0.329,Helbach 2022,0,https://openalex.org/W1998406443
10.1007/s00468-014-1058-2,lai,4,Evaluating optical measurements of leaf area index against litter collection in a mixed broadleaved-,2014,1,6.771,6.498,8,3,0.115,Chianucci 2019,0,https://openalex.org/W2095110822
10.1016/j.rse.2016.10.039,lai,4,Estimation of canopy clumping index from MISR and MODIS sensors using the normalized difference hots,2016,1,6.761,6.011,8,3,0.178,Demarez 2008,0,https://openalex.org/W2557136359
10.1016/s0168-1923(01)00289-1,light,4,Variation in canopy openness and light transmission following selection cutting in northern hardwood,2002,1,6.755,5.755,8,2,0.296,Demarez 2008,0,https://openalex.org/W2098007776
10.2307/1937003,forest,4,Gap Regeneration in Some Old‐growth Forests of the Eastern United States,1981,1,6.718,5.718,7,2,0.283,Runkle 1982,0,https://openalex.org/W2110851995
10.1093/treephys/tpp042,lai,4,Woody-to-total area ratio determination with a multispectral canopy imager,2009,1,6.71,6.255,7,2,0.139,Demarez 2008,0,https://openalex.org/W2153343587
10.1139/cjfr-2019-0055,lai,4,An overview of in situ digital canopy photography in forestry,2019,1,6.704,5.704,7,2,0.241,Leblanc 2005,0,https://openalex.org/W2995851060
10.1080/10618600.2016.1152970,field,4,Bayesian and Maximum Likelihood Estimation for Gaussian Processes on an Incomplete Lattice,2016,1,6.691,6.032,7,4,0.166,Dietrich & Newsam 1997,0,https://openalex.org/W1560584359
10.1016/j.agrformet.2010.02.009,lai,4,A clumped-foliage canopy radiative transfer model for a global dynamic terrestrial ecosystem model. ,2010,1,6.622,6.364,9,2,0.113,Hirose 2005,0,https://openalex.org/W1990352961
10.1016/j.agrformet.2022.108999,lai,4,LAI-NOS: An automatic network observation system for leaf area index based on hemispherical photogra,2022,1,6.605,6.15,8,4,0.139,Demarez 2008,0,https://openalex.org/W4281287212
10.1016/j.agrformet.2016.05.009,lai,4,Quantifying the impact of woody material on leaf area index estimation from hemispherical photograph,2016,1,6.602,6.087,7,3,0.147,Demarez 2008,0,https://openalex.org/W2400959036
10.1016/0168-1923(86)90033-x,lai,4,Estimation of leaf area index from transmission of direct sunlight in discontinuous canopies,1986,1,6.598,5.712,6,5,0.196,Demarez 2008,0,https://openalex.org/W1988775509
10.1016/s1146-609x(01)01123-7,light,4,Spatial and temporal variability of canopy structure in a tropical moist forest,2001,1,6.585,6.04,7,3,0.151,Nicotra 1999,0,https://openalex.org/W2000358287
10.1016/j.scienta.2013.10.009,lai,4,Canopy leaf area index for apple tree using hemispherical photography in arid region,2013,1,6.578,5.578,7,2,0.211,Demarez 2008,0,https://openalex.org/W1993752013
10.5194/bg-23-1949-2026,lai,4,Litter vs. Lens: Evaluating LAI from Litter Traps and Hemispherical Photos Across View Zenith Angles,2026,1,6.567,5.665,7,3,0.198,Chianucci 2019,0,https://openalex.org/W7135011048
10.3832/ifor0096-007,lai,4,A simplified methodology for the correction of Leaf Area Index (LAI) measurements obtained by ceptom,2014,1,6.539,5.918,7,3,0.161,Zhu 2016,0,https://openalex.org/W1982331880
10.1126/science.203.4387.1299,forest,4,"Tree Dispersion, Abundance, and Diversity in a Tropical Dry Forest",1979,1,6.539,6.486,8,2,0.086,Denslow 1987,0,https://openalex.org/W2010453582
